,Start Date,Label,Original Port Type,Charging Time (hh:mm:ss),Energy (kWh),Total Duration (hh:mm:ss),Port Number,CenterLon,CenterLat,Level 1,Level 2
0,2011-07-29,0,['Level 2'],0.0,6.249457,0.0,2,-122.16,37.445,0,1
1,2011-07-30,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,24.069184999999997,0.0,8,-122.16,37.445,0,4
2,2011-07-31,0,"['Level 2', 'Level 2', 'Level 2']",0.0,37.209163,0.0,6,-122.16,37.445,0,3
3,2011-08-01,0,['Level 2'],0.0,5.041244,0.0,2,-122.16,37.445,0,1
4,2011-08-02,0,"['Level 2', 'Level 2']",0.0,12.694292,0.0,4,-122.16,37.445,0,2
5,2011-08-03,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,31.644829,0.0,10,-122.16,37.445,0,5
6,2011-08-04,0,"['Level 2', 'Level 2']",0.0,14.2257,0.0,4,-122.16,37.445,0,2
7,2011-08-05,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,31.489418,0.0,10,-122.16,37.445,0,5
8,2011-08-06,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,55.49688299999999,0.0,12,-122.16,37.445,0,6
9,2011-08-07,0,"['Level 2', 'Level 2']",0.0,13.397158999999998,0.0,4,-122.16,37.445,0,2
10,2011-08-08,0,"['Level 2', 'Level 2', 'Level 2']",0.0,12.144901,0.0,6,-122.16,37.445,0,3
11,2011-08-09,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,17.349076,0.0,10,-122.16,37.445,0,5
12,2011-08-10,0,"['Level 2', 'Level 2']",0.0,11.151858,0.0,4,-122.16,37.445,0,2
13,2011-08-11,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,17.816883999999998,0.0,8,-122.16,37.445,0,4
