,Start Date,Park Duration (mins),Charge Duration (mins),Energy (kWh)
49698,2016-01-01 11:48:00, 230 ,92.0,3.034643
49710,2016-01-01 13:43:00, 225 ,225.0,12.427662
49732,2016-01-01 22:43:00, 708 ,111.0,10.752058
49736,2016-01-02 07:09:00, 149 ,149.0,11.160776
49745,2016-01-02 10:29:00, 156 ,156.0,10.298505
49758,2016-01-02 13:06:00, 84 ,84.0,2.904127
49768,2016-01-02 15:00:00, 27 ,26.0,2.573858
49773,2016-01-02 15:31:00, 174 ,152.0,14.961943
49775,2016-01-02 16:01:00, 195 ,167.0,16.317518
49790,2016-01-02 19:37:00, 108 ,108.0,10.829344
49791,2016-01-02 19:56:00, 289 ,26.0,2.552439
49802,2016-01-03 09:23:00, 58 ,58.0,5.243358
49803,2016-01-03 09:33:00, 264 ,134.0,6.782309
49813,2016-01-03 11:12:00, 240 ,0.0,0.008115
49825,2016-01-03 14:12:00, 97 ,96.0,5.29069
49833,2016-01-03 15:52:00, 201 ,201.0,16.058235
49834,2016-01-03 15:52:00, 53 ,52.0,5.304866
49840,2016-01-03 17:27:00, 890 ,219.0,15.878921
49857,2016-01-04 05:57:00, 198 ,127.0,6.368932
49871,2016-01-04 08:48:00, 75 ,74.0,5.99877
