,Label,ar,d,ma,AIC
0,0.0,0.0,0.0,0.0,37085.70636508288
1,0.0,0.0,0.0,1.0,34322.16606060574
2,0.0,0.0,0.0,2.0,32831.09605067863
3,0.0,0.0,0.0,3.0,32116.257393962456
4,0.0,0.0,0.0,4.0,31323.154715650086
5,0.0,0.0,0.0,5.0,30975.42406102825
6,0.0,0.0,0.0,6.0,30904.48902968478
7,0.0,0.0,0.0,7.0,33292.55328140701
8,0.0,0.0,0.0,8.0,30351.092359580973
9,0.0,0.0,0.0,9.0,30153.841700008496
10,0.0,0.0,1.0,0.0,29991.550929839723
11,0.0,0.0,1.0,1.0,28728.099674500172
12,0.0,0.0,1.0,2.0,28594.317287242793
13,0.0,0.0,1.0,3.0,28594.912626523597
14,0.0,0.0,1.0,4.0,28588.50584235472
15,0.0,0.0,1.0,5.0,28582.173409490482
16,0.0,0.0,1.0,6.0,28539.08820013873
17,0.0,0.0,1.0,7.0,28539.45890156242
18,0.0,0.0,1.0,8.0,28371.746062795988
19,0.0,0.0,1.0,9.0,28347.496892810115
20,0.0,0.0,2.0,0.0,33057.214415322334
21,0.0,0.0,2.0,1.0,29992.90383078268
22,0.0,0.0,2.0,2.0,28734.849062559166
23,0.0,0.0,2.0,3.0,28600.765623259253
24,0.0,0.0,2.0,4.0,28601.366743242885
25,0.0,0.0,2.0,5.0,28595.061419604564
26,0.0,0.0,2.0,6.0,28588.700254069638
27,0.0,0.0,2.0,7.0,28545.52873129382
28,0.0,0.0,2.0,8.0,28545.825732425634
29,0.0,0.0,2.0,9.0,28378.373439137962
30,0.0,1.0,0.0,0.0,29927.138911675647
31,0.0,1.0,0.0,1.0,28741.29457038495
32,0.0,1.0,0.0,2.0,28607.714989164757
33,0.0,1.0,0.0,3.0,28608.327855288124
34,0.0,1.0,0.0,4.0,28601.84782500221
35,0.0,1.0,0.0,5.0,28595.463144097845
36,0.0,1.0,0.0,6.0,28552.262046921718
37,0.0,1.0,0.0,7.0,28552.59688210983
38,0.0,1.0,0.0,8.0,28385.174599347378
39,0.0,1.0,0.0,9.0,28361.132424993848
40,0.0,1.0,1.0,0.0,29570.130666856538
41,0.0,1.0,1.0,1.0,28598.748906144396
42,0.0,1.0,1.0,2.0,28595.432243152376
43,0.0,1.0,1.0,3.0,28595.452533081567
44,0.0,1.0,1.0,4.0,28582.95026921986
45,0.0,1.0,1.0,5.0,28577.66613981303
46,0.0,1.0,1.0,6.0,28540.893121021654
47,0.0,1.0,1.0,7.0,28463.977040024773
48,0.0,1.0,1.0,8.0,28354.890376996424
49,0.0,1.0,1.0,9.0,28348.79658168686
50,0.0,1.0,2.0,0.0,31697.27688672825
51,0.0,1.0,2.0,1.0,29572.1634609865
52,0.0,1.0,2.0,2.0,28605.145495996523
53,0.0,1.0,2.0,3.0,28737.632010967696
54,0.0,1.0,2.0,4.0,28604.504677921836
55,0.0,1.0,2.0,5.0,28605.04883721689
56,0.0,1.0,2.0,6.0,28598.663284505936
57,0.0,1.0,2.0,7.0,28592.4871700476
58,0.0,1.0,2.0,8.0,28549.084025932687
59,0.0,1.0,2.0,9.0,28549.419544322936
60,0.0,2.0,0.0,0.0,29546.222005869844
61,0.0,2.0,0.0,1.0,28612.17794878374
62,0.0,2.0,0.0,2.0,28608.84215838561
63,0.0,2.0,0.0,3.0,28611.33978513324
64,0.0,2.0,0.0,4.0,28612.26210816906
65,0.0,2.0,0.0,5.0,28604.8667583243
66,0.0,2.0,0.0,6.0,28554.06394953831
67,0.0,2.0,0.0,7.0,28529.556632979504
68,0.0,2.0,0.0,8.0,28420.467504010852
69,0.0,2.0,0.0,9.0,28368.854831142038
70,0.0,2.0,1.0,0.0,29368.407531789977
71,0.0,2.0,1.0,1.0,28591.989358354156
72,0.0,2.0,1.0,2.0,28575.890474002525
73,0.0,2.0,1.0,3.0,28109.085969986903
74,0.0,2.0,1.0,4.0,28108.549213520448
75,0.0,2.0,1.0,5.0,28102.104929398793
76,0.0,2.0,1.0,6.0,28094.19216254245
77,0.0,2.0,1.0,7.0,28097.106098304725
78,0.0,2.0,1.0,8.0,28097.538213184707
79,0.0,2.0,1.0,9.0,28091.505485710666
80,0.0,2.0,2.0,0.0,31044.76455985473
81,0.0,2.0,2.0,1.0,29370.949214238262
82,0.0,2.0,2.0,2.0,28610.8988233298
83,0.0,2.0,2.0,3.0,28608.810883549326
84,0.0,2.0,2.0,4.0,28723.96872830713
85,0.0,2.0,2.0,5.0,28540.20530106246
86,0.0,2.0,2.0,6.0,28605.04663858142
87,0.0,2.0,2.0,7.0,28545.974407257614
88,0.0,2.0,2.0,8.0,28542.816712369717
89,0.0,2.0,2.0,9.0,28537.275945873047
90,0.0,3.0,0.0,0.0,29359.376800101203
91,0.0,3.0,0.0,1.0,28605.378435390016
92,0.0,3.0,0.0,2.0,28615.05417866378
93,0.0,3.0,0.0,3.0,28613.450248213743
94,0.0,3.0,0.0,4.0,28109.42206125972
95,0.0,3.0,0.0,5.0,28126.921773236456
96,0.0,3.0,0.0,6.0,28117.95656420351
97,0.0,3.0,0.0,7.0,28409.68363455597
98,0.0,3.0,0.0,8.0,28103.9237034654
99,0.0,3.0,0.0,9.0,28105.704916185343
100,0.0,3.0,1.0,0.0,29241.76027316143
101,0.0,3.0,1.0,1.0,28574.388171092865
102,0.0,3.0,1.0,2.0,28558.71678008385
103,0.0,3.0,1.0,3.0,28132.06505129008
104,0.0,3.0,1.0,4.0,28109.11018917498
105,0.0,3.0,1.0,5.0,28119.080021968188
106,0.0,3.0,1.0,6.0,28100.783738251674
107,0.0,3.0,1.0,7.0,28098.89318844639
108,0.0,3.0,1.0,8.0,28080.625944481966
109,0.0,3.0,1.0,9.0,28084.6175549427
110,0.0,3.0,2.0,0.0,30696.465838923257
111,0.0,3.0,2.0,1.0,29244.70784894486
112,0.0,3.0,2.0,2.0,28583.059732274112
113,0.0,3.0,2.0,3.0,28602.181791412513
114,0.0,3.0,2.0,4.0,28566.630113905503
115,0.0,3.0,2.0,5.0,28722.061349878197
116,0.0,3.0,2.0,6.0,28633.298947255345
117,0.0,3.0,2.0,7.0,28610.606841250854
118,0.0,3.0,2.0,8.0,28474.418960858588
119,0.0,3.0,2.0,9.0,28442.412868288113
120,0.0,4.0,0.0,0.0,29240.23150219464
121,0.0,4.0,0.0,1.0,28587.688215697006
122,0.0,4.0,0.0,2.0,28609.03408374379
123,0.0,4.0,0.0,3.0,28612.807856997606
124,0.0,4.0,0.0,4.0,28138.209365197723
125,0.0,4.0,0.0,5.0,28133.406993744844
126,0.0,4.0,0.0,6.0,28124.935978701542
127,0.0,4.0,0.0,7.0,28106.955356212136
128,0.0,4.0,0.0,8.0,28106.075963002862
129,0.0,4.0,0.0,9.0,28106.875992654557
130,0.0,4.0,1.0,0.0,29103.567213403534
131,0.0,4.0,1.0,1.0,28538.82106539216
132,0.0,4.0,1.0,2.0,28518.261952382105
133,0.0,4.0,1.0,3.0,28113.494325364536
134,0.0,4.0,1.0,4.0,28108.191761767648
135,0.0,4.0,1.0,5.0,27966.373819436507
136,0.0,4.0,1.0,6.0,27983.026950526473
137,0.0,4.0,1.0,7.0,27966.511703417833
138,0.0,4.0,1.0,8.0,28085.58292221769
139,0.0,4.0,1.0,9.0,28082.758370682815
140,0.0,4.0,2.0,0.0,30562.051542896028
141,0.0,4.0,2.0,1.0,29107.5259478831
142,0.0,4.0,2.0,2.0,29245.053382814294
143,0.0,4.0,2.0,3.0,28584.94323746806
144,0.0,4.0,2.0,4.0,28551.881836539535
145,0.0,4.0,2.0,5.0,28611.8833711681
146,0.0,4.0,2.0,6.0,28642.120868004175
147,0.0,4.0,2.0,7.0,28498.443405720147
148,0.0,4.0,2.0,8.0,28460.81881345449
149,0.0,4.0,2.0,9.0,28456.203151596867
150,0.0,5.0,0.0,0.0,29107.233072615432
151,0.0,5.0,0.0,1.0,28551.757995121552
152,0.0,5.0,0.0,2.0,28589.981950969923
153,0.0,5.0,0.0,3.0,28549.207738271445
154,0.0,5.0,0.0,4.0,28112.704482048863
155,0.0,5.0,0.0,5.0,27988.567399001044
156,0.0,5.0,0.0,6.0,27994.519653596642
157,0.0,5.0,0.0,7.0,27996.029661718632
158,0.0,5.0,0.0,8.0,28099.763506090567
159,0.0,5.0,0.0,9.0,28097.955711007846
160,0.0,5.0,1.0,0.0,28744.62148575042
161,0.0,5.0,1.0,1.0,28441.987725264553
