,Name,Latitude,Longitude,Category,Sub Category
0,Zydeco Party,37.452546,-122.11266,Arts & Entertainment,Music Venue
1,Delta Chi Alumni,37.450602,-122.114825,College & University,Fraternity House
2,Phi Beta Pi Alumni,37.452672,-122.113965,College & University,Fraternity House
3,Delta Delta Delta Alumni,37.45084242652555,-122.11437907858667,College & University,Fraternity House
4,Mama's Taco Wagon,37.450386,-122.116925,Food,Food Truck
5,rosa's taco truck,37.452021684999735,-122.11567139272745,Food,Food Truck
6,El Jarochito Taco Truck,37.45125390842353,-122.11557155785097,Food,Food Truck
7,Byxbee Park,37.450953743632496,-122.1062015279176,Outdoors & Recreation,Park
8,Baylands Golf Links,37.4544677734375,-122.11304473876953,Outdoors & Recreation,Golf Course
9,Marsh Front Trail,37.45408,-122.109795,Outdoors & Recreation,Trail
10,City of Palo Alto Recycling Center,37.451107028646454,-122.10806965827942,Outdoors & Recreation,Other Great Outdoors
11,BLFR Alternate Run Location,37.449303,-122.115582,Outdoors & Recreation,Athletics & Sports
12,Faber Pl Baylands,37.44900321898016,-122.10930347442627,Outdoors & Recreation,Lake
13,Brad Lozare's Golf Shop,37.453576,-122.114252,Outdoors & Recreation,Golf Course
14,Zymogentics,37.44966125488281,-122.11511993408203,Outdoors & Recreation,Gym / Fitness Center
15,Advantage Aviation,37.45386779621386,-122.1143144354331,Professional & Other Places,Flight School
16,Bloomerang Tool Company,37.4517707824707,-122.11312866210938,Professional & Other Places,Tech Startup
17,Onco MDx,37.451813,-122.112993,Professional & Other Places,Office
18,Sgiggle,37.450753,-122.116174,Professional & Other Places,Office
19,Bowne,37.45061,-122.11591643,Professional & Other Places,Office
20,deeplearning.ai,37.451112,-122.116094,Professional & Other Places,Tech Startup
21,inscopix,37.451547,-122.112902,Professional & Other Places,Office
22,Aviir,37.450602,-122.114825,Professional & Other Places,Medical Center
23,Embarcadero Corporate Centet,37.4531922384556,-122.11322541170938,Professional & Other Places,Building
24,Heffernan Insurance Brokers,37.450602,-122.114825,Professional & Other Places,Office
25,Stanford Health Care Center For Education And Professional Development,37.44985537797352,-122.11446782168265,Professional & Other Places,Building
26,TERIS,37.450225,-122.116114,Professional & Other Places,Office
27,Sullivan & Cromwell LLP,37.452224,-122.114452,Professional & Other Places,Building
28,Accellion,37.4511739692884,-122.11564221237661,Professional & Other Places,Office
29,Civil Air Patrol (Squadron 10),37.45365905761719,-122.11356353759766,Professional & Other Places,Military Base
30,Aurora Innovation,37.452971,-122.114077,Professional & Other Places,Office
31,CardioDx,37.449159,-122.116529,Professional & Other Places,Office
32,Palo Alto Technology Center,37.45087351301025,-122.11421387356154,Professional & Other Places,Office
33,Pluribus Networks,37.450602,-122.114825,Professional & Other Places,Tech Startup
34,Intercall,37.450602,-122.114825,Professional & Other Places,Office
35,BCCI Construction,37.450602,-122.114825,Professional & Other Places,Building
36,"Ooma, Inc.",37.45134410917919,-122.11515557820638,Professional & Other Places,Tech Startup
37,Palo Alto Technology Center,37.45052866131706,-122.1147664414639,Professional & Other Places,Coworking Space
38,Enginsoft Americas,37.45133804598324,-122.11615947301839,Professional & Other Places,Office
39,Landing AI,37.450602,-122.114825,Professional & Other Places,Tech Startup
40,California Self Storage,37.45126885770851,-122.10762977600096,Professional & Other Places,Office
41,City of Palo Alto Hazardous Waste Drop Off,37.45234222035054,-122.11269294592144,Professional & Other Places,Government Building
42,5BuckStartUp,37.45275937208007,-122.11331605911253,Professional & Other Places,Tech Startup
43,Ruba HQ,37.453191,-122.113471,Professional & Other Places,Office
44,Recording for the Blind and Dyslexic,37.450974,-122.1164,Professional & Other Places,Office
45,Turing.com,37.45252940894334,-122.11511313915253,Professional & Other Places,Tech Startup
46,Capnia,37.451015,-122.116227,Professional & Other Places,Office
47,Longwell and Associates,37.453077,-122.113445,Professional & Other Places,Office
48,Regional Water Quality Control Plant,37.452082,-122.112865,Professional & Other Places,Building
49,Scylladb,37.45308,-122.113487,Professional & Other Places,Tech Startup
50,Cydesign,37.4505515234186,-122.1149836394857,Professional & Other Places,Tech Startup
51,Genie Roofing,37.4519843083136,-122.11591243743896,Professional & Other Places,Building
52,Bill.com,37.450536162188584,-122.1146373816504,Professional & Other Places,Tech Startup
53,Stanford Federal Credit Union,37.45197345601376,-122.11525915121203,Shop & Service,Credit Union
54,crowntuna,37.450602,-122.114825,Shop & Service,Design Studio
55,Ooma Nationwide Home Phone Service,37.453060150146484,-122.11327362060547,Shop & Service,Mobile Phone Shop
56,"ET Healthcare, Inc.",37.45185470581055,-122.11316680908203,Shop & Service,Business Service
