,Name,Latitude,Longitude,Category
0,Zydeco Party,37.452546,-122.11266,Arts & Entertainment
1,Delta Delta Delta Alumni,37.45084242652555,-122.11437907858667,College & University
2,Mama's Taco Wagon,37.450386,-122.116925,Food
3,Byxbee Park,37.450953743632496,-122.1062015279176,Outdoors & Recreation
4,Advantage Aviation,37.45386779621386,-122.1143144354331,Professional & Other Places
5,Stanford Federal Credit Union,37.45197345601376,-122.11525915121203,Shop & Service
6,Palo Alto Airport (PAO) (Palo Alto Airport),37.45428392462384,-122.113938331604,Travel & Transport
7,Zydeco Party,37.452546,-122.11266,Arts & Entertainment
8,Byers Eye Institute,37.449025958271015,-122.12013888205126,College & University
9,Bay Cafe & Deli,37.45372235136243,-122.11596041185489,Food
10,Baylands,37.44951199086817,-122.1201915974585,Outdoors & Recreation
11,Advantage Aviation,37.45386779621386,-122.1143144354331,Professional & Other Places
12,Anderson Honda,37.44987,-122.11912,Shop & Service
13,Palo Alto Airport (PAO) (Palo Alto Airport),37.45428392462384,-122.113938331604,Travel & Transport
14,Benbolio,37.44727086237372,-122.1181450496606,Arts & Entertainment
15,Byers Eye Institute,37.449025958271015,-122.12013888205126,College & University
16,The Market at Edgewood,37.44824124359973,-122.12562654116597,Food
17,The Lounge,37.44745059640779,-122.12199962640355,Nightlife Spot
18,Embarcadero/Oregon Expwy ped/bike bridge,37.447129330591565,-122.12116956710814,Outdoors & Recreation
19,Byers Eye Institute,37.449025958271015,-122.12013888205126,Professional & Other Places
20,The Market at Edgewood,37.44824124359973,-122.12562654116597,Shop & Service
21,Melrose Moving Company Palo Alto,37.45142429845159,-122.11941674351691,Travel & Transport
22,Genius Kids Club,37.44807434082031,-122.12603759765625,College & University
23,The Market at Edgewood,37.44824124359973,-122.12562654116597,Food
24,Owen's,37.446877,-122.129058,Nightlife Spot
25,San Francisquito Creek Trail,37.452903463981436,-122.12822160377078,Outdoors & Recreation
26,US Post Office,37.4516966,-122.1243949,Professional & Other Places
27,Woodland Creek,37.452615514729715,-122.12851049829364,Residence
28,Edgewood Shopping Center,37.44767665337487,-122.12606480795495,Shop & Service
29,San Mateo / Santa Clara County border,37.4527103985084,-122.12766721844673,Travel & Transport
30,StartupDigest / Udemy Worldwide HQ,37.450949,-122.126261,College & University
31,Second floor lunch table,37.450716,-122.132754,Food
32,Owen's,37.446877,-122.129058,Nightlife Spot
33,San Francisquito Creek Trail,37.452903463981436,-122.12822160377078,Outdoors & Recreation
34,Duveneck Elementary,37.44968564866077,-122.13390492319525,Professional & Other Places
35,Woodland Creek,37.452615514729715,-122.12851049829364,Residence
36,Public Storage,37.454017073124945,-122.12900527182227,Shop & Service
37,San Mateo / Santa Clara County border,37.4527103985084,-122.12766721844673,Travel & Transport
38,Second floor lunch table,37.450716,-122.132754,Food
39,Newell Rd Bridge,37.45438612815218,-122.1365976333618,Outdoors & Recreation
40,Duveneck Elementary,37.44968564866077,-122.13390492319525,Professional & Other Places
41,Saaaaaams,37.454719,-122.135778,Residence
42,Pacific Leadership Consultants,37.450286865234375,-122.13218688964844,Shop & Service
43,Newell Rd Bridge,37.45438612815218,-122.1365976333618,Travel & Transport
44,Douvos Pizza,37.448498,-122.14593500000001,Food
45,Eleanor Pardee Park,37.4491751447799,-122.14251253344688,Outdoors & Recreation
46,St. Albert the Great Catholic Church,37.449321999999995,-122.145054,Professional & Other Places
47,100 Island Drive,37.454029,-122.141079,Residence
48,Palo Alto Carpet Cleaning,37.452179,-122.14194199999999,Shop & Service
49,Edgewood Drive,37.45447,-122.13979,Travel & Transport
50,Douvos Pizza,37.448498,-122.14593500000001,Food
51,Celia Ghee's Taqueria Y Cantina,37.450394,-122.14815971,Nightlife Spot
52,Eleanor Pardee Park,37.4491751447799,-122.14251253344688,Outdoors & Recreation
53,Techvedic Inc.,37.454213659617096,-122.14460134506226,Professional & Other Places
54,Palo Alto Carpet Cleaning,37.452179,-122.14194199999999,Shop & Service
55,Jared's,37.452412,-122.155101,Arts & Entertainment
56,foo,37.45014572143555,-122.1556167602539,Food
57,MadWoutz,37.449133,-122.155941,Nightlife Spot
58,Pusk-Pusk,37.45228389923168,-122.15483836467062,Professional & Other Places
59,Channing House,37.44668539455958,-122.1536824944109,Residence
60,Carpet Cleaning Palo Alto,37.450130462646484,-122.15641784667969,Shop & Service
61,Middlefield & Channing,37.447556,-122.151764,Travel & Transport
62,Varsity Theater,37.447704,-122.159626,Arts & Entertainment
63,Lucile Packard Foundation for Children's Health,37.446495056152344,-122.1585464477539,College & University
64,Blue Bottle Coffee,37.44748492121728,-122.15940873059341,Food
65,Vino Locale,37.448245107257584,-122.16054177069444,Nightlife Spot
66,Margo's tree,37.446700192366634,-122.15965631109854,Outdoors & Recreation
67,HanaHaus,37.4474169565206,-122.15938000959267,Professional & Other Places
68,President Apartments,37.4479780905567,-122.15942244981443,Residence
69,Wells Fargo,37.4464546,-122.1585077,Shop & Service
70,Garden Court Hotel,37.4477291796394,-122.15903551654627,Travel & Transport
71,Varsity Theater,37.447704,-122.159626,Arts & Entertainment
72,OnePacs,37.44928,-122.15989,College & University
73,Palo Alto Festival Of The Arts,37.447058412182294,-122.16039922035714,Event
74,tōno coffee project,37.447421,-122.161973,Food
75,Salvaje,37.447747,-122.161925,Nightlife Spot
76,Dr. Edith Eugenie Johnson Park,37.44943040577374,-122.16353697113634,Outdoors & Recreation
77,HanaHaus,37.4474169565206,-122.15938000959267,Professional & Other Places
78,President Apartments,37.4479780905567,-122.15942244981443,Residence
79,The Willows Market,37.45448089179269,-122.16329076559481,Shop & Service
80,Garden Court Hotel,37.4477291796394,-122.15903551654627,Travel & Transport
81,Love Sign,37.448255,-122.165212,Arts & Entertainment
82,Realty Nation Corporate HQ,37.446139,-122.16785,College & University
83,Ike’s Place,37.448118,-122.161718,Food
84,Salvaje,37.447747,-122.161925,Nightlife Spot
85,El Palo Alto Park,37.446961704896786,-122.16997896376368,Outdoors & Recreation
86,Robinhood HQ,37.454516999999996,-122.16506499999998,Professional & Other Places
87,Hawthorne Gardens,37.44774,-122.166235,Residence
88,Presidio Bank,37.447357177734375,-122.16278839111328,Shop & Service
89,Edgar Allen Poe,37.449772,-122.166497,Travel & Transport
90,Emily Renzel Ponds,37.441867,-122.114742,Outdoors & Recreation
91,Abandoned ITT World Communications building,37.44560037324775,-122.11450427770615,Professional & Other Places
92,Benbolio,37.44727086237372,-122.1181450496606,Arts & Entertainment
93,Hope Technology School,37.44756117550683,-122.11758132701343,College & University
94,Cabana Dave's,37.444666839520345,-122.11913227809896,Food
95,Basil America,37.44375228881836,-122.120849609375,Nightlife Spot
96,Embarcadero/Oregon Expwy ped/bike bridge,37.447129330591565,-122.12116956710814,Outdoors & Recreation
97,Abandoned ITT World Communications building,37.44560037324775,-122.11450427770615,Professional & Other Places
98,Parker Palo Alto,37.44367954968237,-122.12020933628082,Residence
99,Audi Palo Alto,37.449629,-122.117994,Shop & Service
100,US-101 (Bayshore Fwy),37.445314523232774,-122.1195704271564,Travel & Transport
101,Benbolio,37.44727086237372,-122.1181450496606,Arts & Entertainment
102,Byers Eye Institute,37.449025958271015,-122.12013888205126,College & University
103,The Market at Edgewood,37.44824124359973,-122.12562654116597,Food
104,Basil America,37.44375228881836,-122.120849609375,Nightlife Spot
105,Embarcadero/Oregon Expwy ped/bike bridge,37.447129330591565,-122.12116956710814,Outdoors & Recreation
106,Byers Eye Institute,37.449025958271015,-122.12013888205126,Professional & Other Places
107,Parker Palo Alto,37.44367954968237,-122.12020933628082,Residence
108,Edgewood Shopping Center,37.44767665337487,-122.12606480795495,Shop & Service
109,US-101 (Bayshore Fwy),37.445314523232774,-122.1195704271564,Travel & Transport
110,Genius Kids Club,37.44807434082031,-122.12603759765625,College & University
111,The Market at Edgewood,37.44824124359973,-122.12562654116597,Food
112,Owen's,37.446877,-122.129058,Nightlife Spot
113,Orangetheory Fitness,37.44801887835069,-122.12615337924171,Outdoors & Recreation
114,The Transcendental Meditation Technique,37.44759403913024,-122.12633100822966,Professional & Other Places
115,"Aztec Way, Palo Alto",37.44432830810547,-122.12245178222656,Residence
116,Edgewood Shopping Center,37.44767665337487,-122.12606480795495,Shop & Service
117,Oregon Expressway & West Bayshore,37.444786,-122.123931,Travel & Transport
118,Pacific Coast Kids,37.445258,-122.13423999999999,College & University
119,Sunrise Deli,37.44579992391087,-122.13367344037714,Food
120,Owen's,37.446877,-122.129058,Nightlife Spot
121,Jordan Middle School Dog Park,37.4427853325153,-122.13374553126775,Outdoors & Recreation
122,First Congregational Church,37.4442631266726,-122.13315651729944,Professional & Other Places
123,King Roofing,37.44186515663609,-122.13026762008667,Shop & Service
124,Light and Sound with ZERO1 Biennial @ Palo Alto Art Center,37.444358825683594,-122.13960266113281,Arts & Entertainment
125,Pacific Coast Kids,37.445258,-122.13423999999999,College & University
126,Sunrise Deli,37.44579992391087,-122.13367344037714,Food
127,Sophie's Winery,37.443272,-122.13302,Nightlife Spot
128,Rinconada Pool,37.44386694927423,-122.1410071849823,Outdoors & Recreation
129,Rinconada Library,37.44514531293813,-122.13905827215044,Professional & Other Places
130,ClusterOne,37.44404583026497,-122.1396231651306,Shop & Service
131,Palo Alto Children's Theater,37.444744313847714,-122.14581906795502,Arts & Entertainment
132,Lucie Stern Community Theatre,37.44446064444892,-122.14544300180205,College & University
133,Stanford Nordstrom Espresso Bar,37.44189986910167,-122.14367697726651,Food
134,City of Palo Alto,37.44206,-122.143005,Outdoors & Recreation
135,Rinconada Library,37.44514531293813,-122.13905827215044,Professional & Other Places
136,Caglar Demirtas Production,37.441883,-122.14302,Shop & Service
137,Embarcadero & Middlefield Road,37.442104,-122.14319,Travel & Transport
138,Palo Alto Children's Theater,37.444744313847714,-122.14581906795502,Arts & Entertainment
139,Lucie Stern Community Theatre,37.44446064444892,-122.14544300180205,College & University
140,Stanford Nordstrom Espresso Bar,37.44189986910167,-122.14367697726651,Food
141,Palo Alto Club,37.443078,-122.14827,Nightlife Spot
142,City of Palo Alto,37.44206,-122.143005,Outdoors & Recreation
143,Addison Elementary School,37.44561104050617,-122.15090733728674,Professional & Other Places
144,Livin'Touch Massage,37.445079,-122.14735,Shop & Service
145,Embarcadero & Middlefield Road,37.442104,-122.14319,Travel & Transport
146,HP Garage,37.442889012239974,-122.15457663856577,Arts & Entertainment
147,tall tree,37.44318481375484,-122.14750291838962,Food
148,Orison Ministries,37.443517,-122.154104,Nightlife Spot
149,Professorville,37.44136670006742,-122.15358533061803,Outdoors & Recreation
150,Addison Elementary School,37.44561104050617,-122.15090733728674,Professional & Other Places
151,Channing House,37.44668539455958,-122.1536824944109,Residence
152,Title Loans Express,37.447870373883326,-122.15190768241881,Shop & Service
153,Cowper Inn,37.44676270965012,-122.15630002972009,Travel & Transport
154,Varsity Theater,37.447704,-122.159626,Arts & Entertainment
155,Lucile Packard Foundation for Children's Health,37.446495056152344,-122.1585464477539,College & University
