,0,1,2,3,4,5,6,7
0,01,2011,,,,,,
1,66.9,45.0,0.00,-,-,01,2011,
2,66.0,44.1,0.00,-,-,01,2011,
3,66.9,41.0,0.08,-,-,01,2011,
4,57.0,41.0,0.00,-,-,01,2011,
5,61.0,39.0,0.00,-,-,01,2011,
6,63.0,39.0,0.09,-,-,01,2011,
7,66.9,50.0,0.01,-,-,01,2011,
8,64.9,46.0,0.07,-,-,01,2011,
9,64.9,44.1,0.00,-,-,01,2011,
10,63.0,44.1,0.00,-,-,01,2011,
11,66.0,45.0,0.00,-,-,01,2011,
12,53.1,45.0,0.00,-,-,01,2011,
13,66.0,46.0,0.98,-,-,01,2011,
14,57.0,46.9,0.82,-,-,01,2011,
15,57.9,37.9,0.02,-,-,01,2011,
16,59.0,37.9,0.00,-,-,01,2011,
17,59.0,37.9,0.00,-,-,01,2011,
18,68.0,48.0,0.00,-,-,01,2011,
19,68.0,48.9,0.00,-,-,01,2011,
20,69.1,48.9,0.00,-,-,01,2011,
21,68.0,48.0,0.00,-,-,01,2011,
22,69.1,48.9,0.00,-,-,01,2011,
23,61.0,39.0,0.00,-,-,01,2011,
24,02,2011,,,,,,
25,50.0,37.0,0.05,-,-,02,2011,
26,53.1,46.9,0.23,-,-,02,2011,
27,53.1,41.0,0.03,-,-,02,2011,
28,53.1,34.0,0.00,-,-,02,2011,
29,54.0,34.0,0.00,-,-,02,2011,
30,53.1,-,0.00,-,-,02,2011,
31,53.1,30.9,0.00,-,-,02,2011,
32,45.0,37.9,0.00,-,-,02,2011,
33,48.9,41.0,0.00,-,-,02,2011,
34,46.9,30.9,0.00,-,-,02,2011,
35,48.9,39.9,0.00,-,-,02,2011,
36,48.9,41.0,0.05,-,-,02,2011,
37,57.0,41.0,0.00,-,-,02,2011,
38,57.9,46.0,0.03,-,-,02,2011,
39,60.1,43.0,0.00,-,-,02,2011,
40,64.9,44.1,0.00,-,-,02,2011,
41,57.9,43.0,0.00,-,-,02,2011,
42,57.9,41.0,0.00,-,-,02,2011,
43,39.9,62.1,0.00,-,-,02,2011,
44,66.9,39.0,0.00,-,-,02,2011,
45,62.1,37.9,0.00,-,-,02,2011,
46,63.0,39.9,0.00,-,-,02,2011,
47,66.9,39.9,0.00,-,-,02,2011,
48,66.9,37.0,0.00,-,-,02,2011,
49,66.9,37.9,0.00,-,-,02,2011,
50,66.0,39.9,0.00,-,-,02,2011,
51,64.9,37.9,0.00,-,-,02,2011,
52,64.0,37.9,0.00,-,-,02,2011,
53,64.0,39.0,0.00,-,-,02,2011,
54,64.0,39.0,0.14,-,-,02,2011,
55,53.1,37.0,0.24,-,-,02,2011,
56,03,2011,,,,,,
57,55.9,37.0,0.00,-,-,03,2011,
58,62.1,34.0,0.00,-,-,03,2011,
59,60.1,37.0,0.00,-,-,03,2011,
60,64.9,37.0,0.00,-,-,03,2011,
61,72.0,42.1,0.00,-,-,03,2011,
62,75.9,42.1,0.00,-,-,03,2011,
63,68.0,46.0,0.00,-,-,03,2011,
64,60.1,36.0,0.00,-,-,03,2011,
65,61.0,33.1,0.00,-,-,03,2011,
66,62.1,33.1,0.00,-,-,03,2011,
67,64.9,35.1,0.00,-,-,03,2011,
68,61.0,36.0,0.00,-,-,03,2011,
69,57.0,43.0,0.02,-,-,03,2011,
70,59.0,43.0,0.02,-,-,03,2011,
71,57.9,45.0,0.30,-,-,03,2011,
72,55.0,42.1,0.15,-,-,03,2011,
73,48.0,41.0,0.75,-,-,03,2011,
74,46.0,37.0,1.10,-,-,03,2011,
75,44.1,35.1,1.46,-,-,03,2011,
76,52.0,33.1,0.00,-,-,03,2011,
77,52.0,35.1,0.00,-,-,03,2011,
78,57.9,35.1,0.00,-,-,03,2011,
79,55.9,37.0,0.03,-,-,03,2011,
80,55.9,37.0,0.52,-,-,03,2011,
81,52.0,32.0,0.01,-,-,03,2011,
82,50.0,28.9,0.00,-,-,03,2011,
83,57.0,32.0,0.00,-,-,03,2011,
84,04,2011,,,,,,
85,60.1,34.0,0.00,-,-,04,2011,
86,62.1,42.1,0.00,-,-,04,2011,
87,62.1,42.1,0.00,-,-,04,2011,
88,64.9,39.9,0.00,-,-,04,2011,
89,64.0,42.1,0.00,-,-,04,2011,
90,66.9,46.0,0.10,-,-,04,2011,
91,61.0,48.0,0.05,-,-,04,2011,
92,60.1,48.9,0.01,-,-,04,2011,
93,64.0,45.0,0.00,-,-,04,2011,
94,64.0,42.1,0.00,-,-,04,2011,
95,64.9,39.9,0.00,-,-,04,2011,
96,64.0,39.9,0.00,-,-,04,2011,
97,68.0,50.0,0.08,-,-,04,2011,
98,63.0,53.1,0.05,-,-,04,2011,
99,66.0,51.1,0.31,-,-,04,2011,
100,60.1,37.9,0.00,-,-,04,2011,
101,62.1,37.9,-,-,-,04,2011,
102,57.0,39.9,0.63,-,-,04,2011,
103,48.9,46.0,1.53,-,-,04,2011,
104,54.0,42.1,0.18,-,-,04,2011,
105,57.9,42.1,0.09,-,-,04,2011,
106,60.1,45.0,0.14,-,-,04,2011,
107,57.0,45.0,0.21,-,-,04,2011,
108,60.1,24.1,1.94,-,-,04,2011,
109,60.1,24.1,0.91,-,-,04,2011,
110,62.1,44.1,0.12,-,-,04,2011,
111,63.0,42.1,0.00,-,-,04,2011,
112,69.1,45.0,0.00,-,-,04,2011,
113,77.0,45.0,0.00,-,-,04,2011,
114,05,2011,,,,,,
115,82.9,48.9,0.00,-,-,05,2011,
116,82.9,48.9,0.00,-,-,05,2011,
117,68.0,43.0,0.00,-,-,05,2011,
118,68.0,43.0,0.00,-,-,05,2011,
119,78.1,48.0,0.00,-,-,05,2011,
120,72.0,42.1,0.00,-,-,05,2011,
121,72.0,-,0.09,-,-,05,2011,
122,57.0,39.0,0.06,-,-,05,2011,
123,60.1,37.0,0.00,-,-,05,2011,
124,64.0,39.9,0.00,-,-,05,2011,
125,64.0,39.9,0.00,-,-,05,2011,
126,66.0,39.0,0.00,-,-,05,2011,
127,66.0,41.0,0.00,-,-,05,2011,
128,63.0,39.9,0.01,-,-,05,2011,
129,64.0,43.0,0.00,-,-,05,2011,
130,71.1,41.0,0.00,-,-,05,2011,
131,73.0,53.1,0.00,-,-,05,2011,
132,70.0,54.0,0.00,-,-,05,2011,
133,69.1,53.1,0.02,-,-,05,2011,
134,68.0,43.0,0.00,-,-,05,2011,
135,71.1,37.9,0.00,-,-,05,2011,
136,66.0,42.1,0.00,-,-,05,2011,
137,66.9,43.0,0.00,-,-,05,2011,
138,66.0,52.0,0.00,-,-,05,2011,
139,66.9,52.0,0.00,-,-,05,2011,
140,66.9,46.0,0.00,-,-,05,2011,
141,69.1,43.0,0.00,-,-,05,2011,
142,70.0,43.0,0.00,-,-,05,2011,
143,66.9,41.0,0.00,-,-,05,2011,
144,69.1,42.1,0.00,-,-,05,2011,
145,06,2011,,,,,,
146,No data, , , , , ,06,2011
147,07,2011,,,,,,
148,64.9,48.9,0.03,-,-,07,2011,
149,68.0,44.1,0.04,-,-,07,2011,
150,66.9,43.0,T,-,-,07,2011,
151,57.9,53.1,0.31,-,-,07,2011,
152,63.0,53.1,0.16,-,-,07,2011,
153,66.9,52.0,0.00,-,-,07,2011,
154,72.0,54.0,0.00,-,-,07,2011,
155,73.0,48.9,0.00,-,-,07,2011,
156,75.0,50.0,-,-,-,07,2011,
157,75.9,50.0,0.00,-,-,07,2011,
158,77.0,46.9,0.00,-,-,07,2011,
159,69.1,53.1,0.00,-,-,07,2011,
160,73.0,52.0,0.00,-,-,07,2011,
161,77.0,55.0,0.00,-,-,07,2011,
162,84.0,54.0,0.00,-,-,07,2011,
163,84.9,52.0,0.00,-,-,07,2011,
164,78.1,51.1,0.00,-,-,07,2011,
165,75.9,48.9,0.00,-,-,07,2011,
166,75.0,54.0,0.00,-,-,07,2011,
167,89.1,57.0,0.00,-,-,07,2011,
168,97.0,59.0,0.00,-,-,07,2011,
169,95.0,57.0,0.00,-,-,07,2011,
170,79.0,53.1,0.00,-,-,07,2011,
171,78.1,50.0,0.00,-,-,07,2011,
172,75.9,50.0,0.00,-,-,07,2011,
173,73.0,51.1,0.00,-,-,07,2011,
174,77.0,54.0,0.00,-,-,07,2011,
175,73.0,57.9,0.00,-,-,07,2011,
176,66.9,52.0,0.50,-,-,07,2011,
177,68.0,50.0,0.00,-,-,07,2011,
178,08,2011,,,,,,
179,78.1,54.0,0.00,-,-,08,2011,
180,89.1,55.0,0.00,-,-,08,2011,
181,82.9,55.9,0.00,-,-,08,2011,
182,93.9,55.9,0.00,-,-,08,2011,
183,82.0,55.0,0.00,-,-,08,2011,
184,87.1,55.9,0.00,-,-,08,2011,
185,84.9,55.0,0.00,-,-,08,2011,
186,79.0,54.0,0.00,-,-,08,2011,
187,82.0,55.9,0.00,-,-,08,2011,
188,73.9,50.0,0.00,-,-,08,2011,
189,75.0,53.1,0.00,-,-,08,2011,
190,75.0,52.0,0.00,-,-,08,2011,
191,73.0,57.9,0.00,-,-,08,2011,
192,73.0,54.0,0.00,-,-,08,2011,
193,69.1,15.1,0.00,-,-,08,2011,
194,73.0,55.0,0.00,-,-,08,2011,
195,73.9,57.0,0.00,-,-,08,2011,
196,72.0,51.1,0.00,-,-,08,2011,
197,77.0,57.0,0.00,-,-,08,2011,
198,77.0,55.0,0.00,-,-,08,2011,
199,88.0,54.0,0.00,-,-,08,2011,
200,82.0,57.0,0.00,-,-,08,2011,
201,80.1,55.9,0.00,-,-,08,2011,
202,79.0,57.9,0.00,-,-,08,2011,
203,75.9,55.9,0.00,-,-,08,2011,
204,73.0,53.1,0.00,-,-,08,2011,
205,73.9,55.0,0.00,-,-,08,2011,
206,80.1,55.0,0.00,-,-,08,2011,
207,80.1,55.0,0.00,-,-,08,2011,
208,75.0,60.1,0.00,-,-,08,2011,
209,75.0,59.0,0.00,-,-,08,2011,
210,09,2011,,,,,,
211,73.9,57.9,0.00,-,-,09,2011,
212,75.0,55.0,0.00,-,-,09,2011,
213,75.9,54.0,0.00,-,-,09,2011,
214,75.9,57.0,0.00,-,-,09,2011,
215,75.0,59.0,0.00,-,-,09,2011,
216,78.1,57.9,0.00,-,-,09,2011,
217,78.1,52.0,0.00,-,-,09,2011,
218,78.1,55.0,0.00,-,-,09,2011,
219,78.1,54.0,0.00,-,-,09,2011,
220,78.1,54.0,0.00,-,-,09,2011,
221,73.9,53.1,0.00,-,-,09,2011,
222,73.9,53.1,0.00,-,-,09,2011,
223,78.1,52.0,0.00,-,-,09,2011,
224,77.0,53.1,0.00,-,-,09,2011,
225,79.0,54.0,0.00,-,-,09,2011,
226,75.9,55.0,0.00,-,-,09,2011,
227,73.0,57.9,0.00,-,-,09,2011,
228,75.0,54.0,0.00,-,-,09,2011,
229,75.0,54.0,0.00,-,-,09,2011,
230,77.0,59.0,0.00,-,-,09,2011,
231,71.1,57.0,0.00,-,-,09,2011,
232,73.9,53.1,0.00,-,-,09,2011,
233,89.1,57.9,0.00,-,-,09,2011,
